Date,Close,High,Low,Open,Volume,sector_EXP_ret,sector_EXX_ret,MA5,EMA5,Close/MA5,MA10,EMA10,Close/MA10,MA20,EMA20,Close/MA20,MA50,EMA50,Close/MA50,MA100,EMA100,Close/MA100,MA200,EMA200,Close/MA200,RSI,MACD,MACD_signal,Momentum,Volatility_5,Range_5,Volatility_10,Range_10,Volatility_20,Range_20,Return_1d,Return_1d_future,Return_5d,Return_5d_future,Return_10d,Return_10d_future,DayOfWeek,Day,Month,Year,IsMonthStart,IsMonthEnd,Target
2024-04-17,7981.509765625,8060.990234375,7958.0,7958.52001953125,59951900,-0.015797132832318095,0.0,7998.7599609375,7998.88262510922,0.9978433913010588,8042.050927734375,8033.957273169423,0.9924719250532735,8107.242919921875,8055.591695710664,0.9844912560856032,7975.3509765625,7956.588075201409,1.0007722279659665,7721.778701171875,7770.785642313458,1.0336361704348906,7454.037351074218,7544.946908829459,1.0707633178782994,32.29795385107411,-3.0264157001738567,28.929247338591455,-171.72021484375,43.56437734967703,106.70400390625,62.6737833830592,92.002099609375,81.65373189521767,77.7450439453125,0.006164415392480027,-0.005203620625481187,-0.007938732305723284,-0.013637173594291951,-0.021061617942227717,0.008447608435775633,2,17,4,2024,0,0,1
2024-04-18,8023.259765625,8039.18994140625,7976.39990234375,8013.91015625,57583000,-0.010087767603031095,0.0,7998.6638671875,8007.008338614481,1.0030750008808844,8029.221923828125,8032.012271797709,0.9992574425941035,8098.35341796875,8052.512464273934,0.9907272937512048,7983.036767578125,7959.202651296452,1.0050385585357986,7729.231997070313,7775.785129903786,1.0380410070064057,7458.742199707031,7549.706240737873,1.0756853569681148,34.76289531790174,-4.406239311589161,22.262150008555334,-128.2900390625,43.49597709596158,95.51005859375,49.519130331482714,93.1130859375,80.57434631334566,77.796533203125,0.00523083993204021,0.0001059045048124041,-5.988089543851327e-05,0.0008245168944345238,-0.01573811632589517,0.008255025448387965,3,18,4,2024,0,0,0
2024-04-19,8022.41015625,8039.47998046875,7946.83984375,7971.68017578125,65692000,-0.017286864508779254,0.0,8000.9798828125,8012.142277826321,1.0026784561080495,8025.33193359375,8030.266432607216,0.9996359306545913,8091.40341796875,8049.645577795464,0.9914732638882477,7991.259775390625,7961.681376980905,1.0038980563434197,7736.528100585938,7780.66879379183,1.0369522416188743,7463.294851074219,7554.409762285257,1.074915344540529,34.60377476049078,-5.504859250030677,16.708748156838134,-38.89990234375,44.60002804908728,86.512109375,48.22946306016112,98.105126953125,80.84340195400836,80.2995361328125,-0.00010589329023602545,-0.0022324507032605023,0.0014455528343586543,-0.008138986506016743,-0.004825506283842929,0.003222605880802254,4,19,4,2024,0,0,1
2024-04-22,8040.35986328125,8071.81005859375,8007.4501953125,8068.14013671875,56900500,0.028170691381565804,0.0,8000.0298828125,8021.548139644631,1.005041228727832,8017.437939453125,8032.1016018206765,1.0028590085762097,8084.435400390625,8048.761224032205,0.9945480995361475,7998.754375,7964.766807816212,1.0052014959243263,7744.276796875,7785.811191207462,1.0382325004867758,7467.778200683594,7559.245086673277,1.076673629988802,41.661226576211355,-4.870982467115027,12.392802032047502,-78.93994140625,43.461089475139715,79.87607421875,36.06700000080201,94.970068359375,78.81089279372814,79.0310302734375,0.002237445690465689,-0.008070774633527567,-0.0005904207749454216,-0.0030737232863206065,-0.009722506041798806,-0.004373664103975328,0,22,4,2024,0,0,1
2024-04-23,8105.77978515625,8111.169921875,8052.56982421875,8064.31982421875,64048300,0.03491229363179782,0.0,8034.6638671875,8049.625354815171,1.0088511379124618,8023.09892578125,8045.4976351544165,1.0103053521014573,8082.128393554687,8054.191563186876,1.0029263815730054,8007.9195703125,7970.296728496214,1.0122204292868455,7752.833295898437,7792.147202968824,1.0455248392151726,7472.20705078125,7564.683242877089,1.0847905752703624,45.909665644693405,0.8998376402078065,10.094209153679564,56.60986328125,45.264455252284485,76.27607421875,44.94978894186241,93.737060546875,77.39405530896408,79.4535400390625,0.008136442023417345,0.0017202376351281856,0.021830132183428663,0.015134710850890576,0.0070330063634764795,-0.003152020449251336,1,23,4,2024,0,0,0
2024-04-24,8091.85986328125,8146.9599609375,8078.77001953125,8105.22021484375,69590900,-0.0012625795420865282,0.0,8056.73388671875,8063.7035243038645,1.0043598283195632,8027.746923828125,8053.927131177476,1.0079864176164826,8079.141381835938,8057.779020338721,1.001574236771485,8015.960771484375,7975.06391025249,1.009468495912165,7761.075493164062,7798.082107133426,1.0426209447915489,7476.001301269531,7569.928781388573,1.0823780704675825,44.96090159237901,4.300459766855056,8.935459276314663,46.47998046875,39.38933320975105,69.316015625,49.665479129511375,88.010009765625,75.70611294176638,79.65703125,-0.0017172834994223507,0.009381719527942867,0.013825717301193974,0.02239011998307383,0.005777226326881824,-0.011699332556351694,2,24,4,2024,0,0,0
2024-04-25,8016.64990234375,8095.43017578125,7955.509765625,8094.5498046875,70130400,0.0031603176874537287,0.0,8055.4119140625,8048.018983650493,0.9951880782594019,8027.037890625,8047.149453207707,0.998705875265223,8070.736376953125,8053.861961482057,0.9932984461289276,8023.787568359375,7976.694733471756,0.9991104368161775,7768.134291992187,7802.410182286105,1.0319916727762735,7479.235551757813,7574.373767666734,1.0718541817364786,46.131566659673965,0.9161017597616592,7.331587773004062,-7.09033203125,40.876488488775614,84.74208984375,49.77951542004986,90.12607421875,72.63318722228306,84.0585693359375,-0.009294520939343354,-0.008851162917613564,-0.0008238376263933755,0.007424387021423451,-0.0008836691896970672,-0.024636367643691814,3,25,4,2024,0,0,1
2024-04-26,8088.240234375,8114.6298828125,8024.6201171875,8072.22998046875,65898300,0.010908655862492012,0.0,8068.5779296875,8061.4260672253295,1.0024368984050034,8034.77890625,8054.620504329032,1.0066537397915722,8064.90791015625,8057.136082709957,1.002893067655412,8032.00537109375,7981.069066840511,1.0070013478182713,7775.5551953125,7808.070183317568,1.040213853700248,7482.804052734375,7579.486866837961,1.0809103348656293,47.37157014903664,3.9650089902042964,6.658272016444109,77.41015625,38.09662715821608,84.216015625,52.900117479904125,85.3640625,65.64953247851227,85.7530517578125,0.008930205622465825,0.0028629761766163497,0.008205773183226572,0.01145482303694556,0.0096631878962683,-0.014744293656795415,4,26,4,2024,0,0,0
2024-04-29,8065.14990234375,8128.0,8065.14990234375,8116.43017578125,55164400,0.006272021580325138,0.0,8073.5359375,8062.667345598137,0.9989612933885266,8036.78291015625,8056.534940331707,1.003529645195673,8057.874926757812,8057.899303627461,1.000902840469983,8038.439970703125,7984.366354507305,1.003322775530821,7782.880795898437,7813.160870823037,1.0362679467728797,7486.6715014648435,7584.319334852944,1.0772677685625343,51.46929023139963,4.466604874922268,6.219938588139742,20.0400390625,34.99283818064212,83.9140625,53.70837952257812,81.895068359375,56.682348869576785,86.50654296875,-0.0028548029437993616,0.010046390487647772,0.0030832001905425344,-0.0013039487954314977,0.002490959030151396,-0.019530003909431826,0,29,4,2024,0,0,0
2024-04-30,7984.93017578125,8081.7099609375,7971.7998046875,8073.64013671875,76456900,-0.02942211047500054,0.0,8049.366015625,8036.754955659175,0.9919949173986287,8042.01494140625,8043.515892231623,0.9929016837147261,8050.6189453125,8050.949862880203,0.9918405317681198,8042.774970703125,7984.388465145499,0.9928078561028274,7788.8601953125,7816.562243198447,1.0251731287444021,7490.000251464844,7588.305512374619,1.066078759372486,45.126823588502546,-1.5906028030030939,4.6578303099111755,52.3203125,46.87319216942885,94.17607421875,44.12639816532845,85.22607421875,56.24365374738073,85.4190673828125,-0.009946464422091905,0.008879770337875348,-0.014909066441245566,-0.018014093208194915,0.006595598851039108,-0.030953927291043182,1,30,4,2024,0,1,0
